Url,Pays,Etat,Province,Ville,Nom,Adresse,Postal,Téléphone,Email,Site,GPS
https://fre.cityhallworldwide.com/mairie-en-autriche/stadtgemeinde-althofen-i105732/,Autriche,Carinthie,Politischer bezirk sankt veit an der glan,Althofen,stadtgemeinde althofen,"hauptpl. 8, 9330 althofen, austria",9330,04262 4802,Information non disponible,http://www.althofen.gv.at/,"46.87165, 14.47015"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeinde-liebenfels-i105745/,Autriche,Carinthie,Politischer bezirk sankt veit an der glan,Liebenfels,marktgemeinde liebenfels,"hauptpl. 9, 9556 liebenfels, austria",9556,Information non disponible,Information non disponible,http://www.liebenfels.at/,"46.73799, 14.28923"
https://fre.cityhallworldwide.com/mairie-en-autriche/rathaus-friesach-i127607/,Autriche,Carinthie,Politischer bezirk sankt veit an der glan,Friesach,rathaus friesach,"fürstenhofpl. 1, 9360 friesach, austria",9360,04268 2213,Information non disponible,http://www.friesach.at/,"46.95218, 14.40541"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeinde-sachsenburg-i105423/,Autriche,Carinthie,Politischer bezirk spittal an der drau,Sachsenburg,marktgemeinde sachsenburg,"marktpl. 12, 9751 sachsenburg, austria",9751,04769 2925,Information non disponible,http://www.sachsenburg.at/,"46.82796, 13.35118"
https://fre.cityhallworldwide.com/mairie-en-autriche/radenthein-i105455/,Autriche,Carinthie,Politischer bezirk spittal an der drau,Radenthein,radenthein,"hauptstraße 65, 9545 radenthein, austria",9545,04246 22881,Information non disponible,http://www.radenthein.gv.at/,"46.79971, 13.70071"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeinde-obervellach-i105501/,Autriche,Carinthie,Politischer bezirk spittal an der drau,Obervellach,marktgemeinde obervellach,"obervellach 21, 9821 obervellach, austria",9821,04782 22110,Information non disponible,http://www.obervellach.gv.at/,"46.93204, 13.20216"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeinde-oberdrauburg-i105508/,Autriche,Carinthie,Politischer bezirk spittal an der drau,Oberdrauburg,marktgemeinde oberdrauburg,"marktpl. 1, 9781 oberdrauburg, austria",9781,04710 22480,Information non disponible,http://www.oberdrauburg.at/,"46.74815, 12.97023"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-berg-im-drautal-i105654/,Autriche,Carinthie,Politischer bezirk spittal an der drau,Berg im drautal,gemeindeamt berg im drautal,"berg, 9771 berg im drautal, austria",9771,Information non disponible,Information non disponible,Information non disponible,"46.70987, 13.1413"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeinde-millstatt-i127576/,Autriche,Carinthie,Politischer bezirk spittal an der drau,Millstatt,marktgemeinde millstatt,"marktpl. 8, 9872 millstatt, austria",9872,04766 2021,Information non disponible,Information non disponible,"46.80529, 13.57115"
https://fre.cityhallworldwide.com/mairie-en-autriche/rathaus-radenthein-i127589/,Autriche,Carinthie,Politischer bezirk spittal an der drau,Radenthein,rathaus radenthein,"hauptstraße 65, 9545 radenthein, austria",9545,04246 22881,Information non disponible,http://www.radenthein.gv.at/,"46.79971, 13.70071"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeindeamt-notsch-im-gailtal-i105621/,Autriche,Carinthie,Politischer bezirk villach land,Feistritz an der gail,marktgemeindeamt nötsch im gailtal,"nötsch, 9611 nötsch im gailtal, austria",9611,Information non disponible,Information non disponible,Information non disponible,"46.5868, 13.63777"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeinde-feld-am-see-i105670/,Autriche,Carinthie,Politischer bezirk villach land,Feld am see,gemeinde feld am see,"rathausstraße 25, 9544 feld am see, austria",9544,04246 22800,Information non disponible,http://www.feld-am-see.gv.at/,"46.77537, 13.74801"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-arriach-i105721/,Autriche,Carinthie,Politischer bezirk villach land,Arriach,gemeindeamt arriach,"arriach 60, 9543 arriach, austria",9543,04247 8514,Information non disponible,http://www.arriach.gv.at/,"46.72979, 13.85057"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeinde-sankt-kanzian-am-klopeiner-see-i127605/,Autriche,Carinthie,Politischer bezirk völkermarkt,Eberndorf,gemeinde sankt kanzian am klopeiner see,"klopeiner str. 5, 9122 st. kanzian am klopeiner see, austria",9122,04239 22240,Information non disponible,http://www.st.kanzian.at/,"46.61432, 14.5758"
https://fre.cityhallworldwide.com/mairie-en-autriche/velden-am-worther-see-i105429/,Autriche,Carinthie,Carinthie (Province),Velden am wörthersee,velden am wörther see,"seecorso 2, 9220 velden am wörthersee, austria",9220,04274 2102,Information non disponible,Information non disponible,"46.613, 14.04159"
https://fre.cityhallworldwide.com/mairie-en-autriche/bad-sankt-leonhard-im-lavanttal-i105442/,Autriche,Carinthie,Carinthie (Province),Bad sankt leonhard im lavanttal,bad sankt leonhard im lavanttal,"hauptpl. 46, 9462 bad st. leonhard im lavanttal, austria",9462,04350 2218,Information non disponible,http://www.bad-st-leonhard-i-lav.at/,"46.96344, 14.79093"
https://fre.cityhallworldwide.com/mairie-en-autriche/stadtgartenamt-i105537/,Autriche,Carinthie,Carinthie (Province),Ebenthal,stadtgartenamt,"pulverturmstraße 76, 9020 klagenfurt am wörthersee, austria",9020,0463 5375110,Information non disponible,http://www.klagenfurt.at/,"46.62457, 14.35369"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindereamt-bad-kleinkirchheim-i105585/,Autriche,Carinthie,Carinthie (Province),Kleinkirchheim,gemeindereamt bad kleinkirchheim,"kirchheimer weg 1, 9546 kleinkirchheim, austria",9546,04240 81820,Information non disponible,http://www.bad-kleinkirchheim.gv.at/,"46.81412, 13.79687"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-reichenau-i105661/,Autriche,Carinthie,Carinthie (Province),Kleinkirchheim,gemeindeamt reichenau,"ebene reichenau 80, 9565 ebene reichenau, austria",9565,04275 2180,Information non disponible,http://www.reichenau.gv.at/,"46.85415, 13.89364"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-frauenstein-i105746/,Autriche,Carinthie,Carinthie (Province),Sankt veit an der glan,gemeindeamt frauenstein,"schulstraße 1, 9311 kraig, austria",9311,04212 27510,Information non disponible,Information non disponible,"46.81137, 14.3676"
